item,subject,semantic,frequency,phonology,simdrop,troyer,participant
falcon,50004,0.3321252506269202,2.23,0.1666666666666666,0,1,1.0
human,50004,0.1611102660276738,3.804,0.3333333333333333,1,1,1.0
cheetah,50004,0.2632141511359636,2.072,0.1666666666666666,0,1,1.0
zebra,50004,0.5346791138825312,2.111,0.4,0,0,0.0
elephant,50004,0.5278517485338206,2.764,0.1428571428571429,0,0,0.0
hyena,50004,0.447696977820873,1.863,0.1428571428571429,0,0,0.0
koala,50004,0.3729040458018592,1.505,0.1999999999999999,1,1,1.0
kangaroo,50004,0.4943212601533487,2.075,0.1666666666666666,0,0,0.0
wallaby,50004,0.5672101458111514,1.447,0.0001,0,0,0.0
corgi,50004,0.4010754702414498,0.301,0.1666666666666666,1,1,1.0
dalmatian,50004,0.5545341884856254,2.837588438,0.0001,0,1,0.0
gopher_tortoise,50004,0.2576095018959741,0.5,0.0999999999999999,1,1,1.0
prairie_dog,50004,0.4371507012940259,2.33243846,0.0001,0,1,0.0
hedgehog,50004,0.3665005861473447,1.204,0.25,0,1,0.0
pig,50004,0.3612453273149842,3.3,0.1666666666666666,1,1,1.0
cow,50004,0.6542097513765606,3.115,0.0001,0,0,0.0
chicken,50004,0.4110109606312923,3.498,0.1999999999999999,0,0,0.0
sheep,50004,0.3823850957015728,2.836,0.0001,1,0,0.0
goat,50004,0.6466525447479595,2.731,0.0001,0,0,1.0
squirrel,50004,0.4304163421445834,2.447,0.0001,1,1,1.0
badger,50004,0.528984202363718,1.954,0.0001,0,0,0.0
beaver,50004,0.447411764601754,2.393,0.5,0,0,0.0
bat,50004,0.2208316584079424,3.022,0.25,1,1,0.0
spider,50004,0.2260046661657282,2.713,0.0001,0,1,1.0
cockroach,50004,0.5680034585876168,2.243,0.0001,0,1,0.0
slug,50004,0.3046629912267075,2.405,0.0001,0,1,0.0
ant,50004,0.2441656698190969,2.438,0.0001,1,1,0.0
rattlesnake,50004,0.4155223052534587,1.94,0.2222222222222222,0,1,1.0
remora_fish,50004,0.0316616768104226,0.5,0.1111111111111111,0,1,1.0
eel,50004,0.0001,1.869,0.0001,1,1,0.0
aardvark,50004,0.2656254499040005,2.606381365,0.0001,0,1,1.0
gazelle,50004,0.2484437674679807,1.799,0.0001,1,0,1.0
antelope,50004,0.5135331826007076,1.708,0.1428571428571429,0,0,0.0
woolly_mammoth,50004,0.3824459518464392,0.5,0.0001,0,1,1.0
